FieldName,FieldType,DiscoveryDate,X,Y,CRS,Source,ParentFieldName
Field_A,OilField,2023-08-02,48.44,50.6,BoundGeographic2D:EPSG::4267_15851,Generated,
Field_A,OilField,2023-08-02,44.37,60.11,EPSG::4267,Generated,
Field_A,OilField,2023-08-02,40.53,53.98,Geographic2D:4267,Generated,
Field_A,OilField,2023-08-02,53.0,60.9,Geographic2D:4267,Generated,
Field_A,OilField,2023-08-02,48.44,50.6,Geographic2D:4267,Generated,
Field_B,MixedField,2020-02-21,,,,Generated,
Field_C,OilField,2021-07-17,,,,Generated,
Field_D,OilField,2021-04-02,53.96,56.81,Projected:EPSG::,Generated,
Field_D,OilField,2021-04-02,43.11,69.14,BoundProjected:EPSG::4267_EPSG:,Generated,
Field_D,OilField,2021-04-02,53.96,56.81,Geographic2D:4267,Generated,
Field_E,OilField,2024-02-17,47.6,57.18,BoundProjected:EPSG::4267_EPSG:,Generated,
Field_E,OilField,2024-02-17,46.88,55.29,Geographic2D:4267,Generated,
Field_E,OilField,2024-02-17,47.6,57.18,EPSG::4267,Generated,
Field_D,OilField,2021-04-02,53.96,56.81,Projected:EPSG::,Generated,
Field_D,OilField,2021-04-02,43.11,69.14,BoundProjected:EPSG::4267_EPSG:,Generated,
Field_D,OilField,2021-04-02,53.96,56.81,Geographic2D:4267,Generated,
