FieldName,FieldType,DiscoveryDate,X,Y,CRS,Source,ParentFieldName
Field_A,OilField,2023-08-02,48.44,50.6,EPSG:4326,Generated,
Field_A,OilField,2023-08-02,44.37,60.11,EPSG:4326,Generated,
Field_A,OilField,2023-08-02,40.53,53.98,EPSG:4326,Generated,
Field_A,OilField,2023-08-02,53.0,60.9,EPSG:4326,Generated,
Field_A,OilField,2023-08-02,48.44,50.6,EPSG:4326,Generated,
Field_B,MixedField,2020-02-21,,,,Generated,
Field_C,OilField,2021-07-17,,,,Generated,
Field_D,OilField,2021-04-02,53.96,56.81,EPSG:3857,Generated,
Field_D,OilField,2021-04-02,43.11,69.14,EPSG:3857,Generated,
Field_D,OilField,2021-04-02,53.96,56.81,EPSG:3857,Generated,
Field_E,OilField,2024-02-17,47.6,57.18,EPSG:4326,Generated,
Field_E,OilField,2024-02-17,46.88,55.29,EPSG:4326,Generated,
Field_E,OilField,2024-02-17,47.6,57.18,EPSG:4326,Generated,
