FieldName,FieldType,DiscoveryDate,X,Y,CRS,Source,ParentFieldName
Field_C,OilField,2020-09-18,44.2,54.99,EPSG:4326,Generated,Field_E
Field_D,GasField,2021-09-23,59.48,64.99,EPSG:4326,Generated,
Field_B,GasField,2020-10-30,,,,Generated,
Field_A,MixedField,2023-04-07,43.59,68.49,EPSG:3857,Generated,
Field_B,GasField,2020-10-30,,,,Generated,Field_A
Field_D,GasField,2021-09-23,57.44,67.17,EPSG:4326,Generated,Field_D
Field_C,OilField,2020-09-18,46.1,65.91,EPSG:4326,Generated,Field_B
Field_D,GasField,2021-09-23,46.57,67.29,EPSG:3857,Generated,Field_E
Field_D,GasField,2021-09-23,53.59,66.87,EPSG:3857,Generated,
Field_A,MixedField,2023-04-07,57.54,55.22,EPSG:3857,Generated,Field_E
Field_D,GasField,2021-09-23,46.91,65.73,EPSG:3857,Generated,Field_E
Field_A,MixedField,2023-04-07,47.7,61.53,EPSG:3857,Generated,Field_D
Field_A,MixedField,2023-04-07,50.4,66.13,EPSG:4326,Generated,Field_A
Field_C,OilField,2020-09-18,52.46,63.27,EPSG:4326,Generated,Field_C
Field_E,OilField,2025-01-15,46.19,58.17,EPSG:3857,Generated,Field_E
Field_B,GasField,2020-10-30,,,,Generated,Field_D
Field_B,GasField,2020-10-30,,,,Generated,Field_C
Field_D,GasField,2021-09-23,50.96,50.01,EPSG:3857,Generated,Field_E
Field_E,OilField,2025-01-15,53.09,59.3,EPSG:3857,Generated,Field_E
Field_D,GasField,2021-09-23,55.87,69.2,EPSG:4326,Generated,Field_C
Field_E,OilField,2025-01-15,53.28,62.39,EPSG:4326,Generated,
Field_B,GasField,2020-10-30,,,,Generated,Field_B
Field_B,GasField,2020-10-30,,,,Generated,Field_A
Field_B,GasField,2020-10-30,,,,Generated,
Field_E,OilField,2025-01-15,56.99,51.46,EPSG:3857,Generated,
Field_E,OilField,2025-01-15,43.89,63.93,EPSG:3857,Generated,Field_B
Field_A,MixedField,2023-04-07,57.85,67.21,EPSG:4326,Generated,Field_B
Field_B,GasField,2020-10-30,,,,Generated,
Field_E,OilField,2025-01-15,49.29,61.15,EPSG:4326,Generated,Field_D
Field_E,OilField,2025-01-15,59.76,61.91,EPSG:3857,Generated,Field_E
Field_D,GasField,2021-09-23,56.61,60.96,EPSG:4326,Generated,Field_D
Field_D,GasField,2021-09-23,45.18,54.94,EPSG:3857,Generated,Field_E
Field_D,GasField,2021-09-23,52.53,55.49,EPSG:4326,Generated,Field_B
Field_C,OilField,2020-09-18,46.72,67.86,EPSG:4326,Generated,Field_B
Field_D,GasField,2021-09-23,53.88,64.13,EPSG:4326,Generated,Field_C
Field_E,OilField,2025-01-15,49.32,51.25,EPSG:3857,Generated,Field_E
Field_A,MixedField,2023-04-07,57.13,65.31,EPSG:3857,Generated,Field_C
Field_C,OilField,2020-09-18,55.07,67.07,EPSG:3857,Generated,Field_E
Field_E,OilField,2025-01-15,57.96,59.76,EPSG:3857,Generated,Field_A
Field_D,GasField,2021-09-23,46.72,63.58,EPSG:3857,Generated,Field_D
Field_B,GasField,2020-10-30,,,,Generated,
Field_E,OilField,2025-01-15,40.54,57.88,EPSG:4326,Generated,Field_D
Field_B,GasField,2020-10-30,,,,Generated,
Field_B,GasField,2020-10-30,,,,Generated,Field_D
Field_C,OilField,2020-09-18,44.23,56.54,EPSG:3857,Generated,Field_D
Field_C,OilField,2020-09-18,56.7,59.41,EPSG:4326,Generated,
Field_C,OilField,2020-09-18,44.48,51.37,EPSG:4326,Generated,Field_B
Field_B,GasField,2020-10-30,,,,Generated,
Field_E,OilField,2025-01-15,43.05,52.52,EPSG:4326,Generated,Field_B
Field_D,GasField,2021-09-23,53.99,65.34,EPSG:4326,Generated,Field_A
