FieldName,FieldType,DiscoveryDate,X,Y,CRS,Source,ParentFieldName
Field_E,OilField,2024-02-17,41.74,58.44,EPSG:4326,Generated,Field_B
Field_E,OilField,2024-02-17,52.04,61.22,EPSG:3857,Generated,Field_E
Field_C,OilField,2021-07-17,56.19,50.13,EPSG:4326,Generated,Field_C
Field_C,OilField,2021-07-17,43.11,69.14,EPSG:3857,Generated,Field_D
Field_A,OilField,2023-08-02,47.18,56.88,EPSG:3857,Generated,
Field_D,OilField,2021-04-02,50.72,69.46,EPSG:3857,Generated,Field_C
Field_E,OilField,2024-02-17,57.71,57.23,EPSG:4326,Generated,Field_A
Field_B,MixedField,2020-02-21,,,,Generated,Field_A
Field_B,MixedField,2020-02-21,,,,Generated,
Field_D,OilField,2021-04-02,45.56,62.71,EPSG:3857,Generated,Field_C
Field_B,MixedField,2020-02-21,,,,Generated,Field_A
Field_E,OilField,2024-02-17,52.7,60.68,EPSG:4326,Generated,Field_D
Field_C,OilField,2021-07-17,59.79,62.8,EPSG:4326,Generated,Field_A
Field_B,MixedField,2020-02-21,,,,Generated,
Field_C,OilField,2021-07-17,48.02,51.32,EPSG:3857,Generated,Field_D
Field_D,OilField,2021-04-02,57.69,62.86,EPSG:4326,Generated,Field_B
Field_E,OilField,2024-02-17,50.78,64.94,EPSG:3857,Generated,
Field_D,OilField,2021-04-02,47.24,69.95,EPSG:4326,Generated,Field_A
Field_A,OilField,2023-08-02,57.22,53.06,EPSG:4326,Generated,Field_D
Field_E,OilField,2024-02-17,41.27,57.63,EPSG:3857,Generated,Field_E
Field_A,OilField,2023-08-02,53.61,52.29,EPSG:3857,Generated,Field_C
Field_A,OilField,2023-08-02,45.87,53.16,EPSG:4326,Generated,
Field_C,OilField,2021-07-17,59.44,65.24,EPSG:4326,Generated,
Field_C,OilField,2021-07-17,56.83,60.15,EPSG:4326,Generated,Field_B
Field_E,OilField,2024-02-17,59.07,68.45,EPSG:4326,Generated,Field_D
Field_A,OilField,2023-08-02,42.24,57.26,EPSG:3857,Generated,Field_B
Field_E,OilField,2024-02-17,58.94,51.71,EPSG:3857,Generated,
Field_E,OilField,2024-02-17,55.32,52.57,EPSG:3857,Generated,
Field_B,MixedField,2020-02-21,,,,Generated,Field_E
Field_D,OilField,2021-04-02,59.29,68.58,EPSG:4326,Generated,Field_D
Field_C,OilField,2021-07-17,48.76,60.35,EPSG:4326,Generated,Field_A
Field_C,OilField,2021-07-17,40.42,61.08,EPSG:4326,Generated,Field_A
Field_B,MixedField,2020-02-21,,,,Generated,Field_A
Field_C,OilField,2021-07-17,41.42,54.76,EPSG:3857,Generated,Field_B
Field_E,OilField,2024-02-17,51.52,54.86,EPSG:3857,Generated,
Field_B,MixedField,2020-02-21,,,,Generated,Field_D
Field_C,OilField,2021-07-17,48.47,59.34,EPSG:4326,Generated,Field_A
Field_A,OilField,2023-08-02,48.05,56.79,EPSG:4326,Generated,Field_B
Field_E,OilField,2024-02-17,48.97,58.44,EPSG:3857,Generated,Field_A
Field_D,OilField,2021-04-02,56.16,67.12,EPSG:4326,Generated,Field_E
Field_A,OilField,2023-08-02,59.38,68.53,EPSG:4326,Generated,Field_D
Field_D,OilField,2021-04-02,44.27,58.02,EPSG:4326,Generated,Field_A
Field_D,OilField,2021-04-02,45.3,65.68,EPSG:3857,Generated,Field_E
Field_D,OilField,2021-04-02,43.1,55.93,EPSG:4326,Generated,Field_E
Field_A,OilField,2023-08-02,54.96,51.14,EPSG:3857,Generated,Field_E
Field_B,MixedField,2020-02-21,,,,Generated,Field_E
Field_A,OilField,2023-08-02,57.03,51.37,EPSG:4326,Generated,Field_B
Field_D,OilField,2021-04-02,42.4,67.81,EPSG:4326,Generated,Field_A
Field_E,OilField,2024-02-17,41.64,63.15,EPSG:3857,Generated,
Field_B,MixedField,2020-02-21,,,,Generated,Field_C
