FieldName,FieldType,DiscoveryDate,X,Y,CRS,Source,ParentFieldName
Field_A,OilField,2023-08-02,48.44,50.6,BoundGeographic2D:EPSG::1993_EPSG::7596,Generated,
Field_A,OilField,2023-08-02,44.37,60.11,Geographic2D:EPSG::5073,Generated,
Field_A,OilField,2023-08-02,40.53,53.98,BoundGeographic2D:EPSG::9786_EPSG::8350,Generated,
Field_A,OilField,2023-08-02,53.0,60.9,BoundProjected:EPSG::4006_EPSG::5563,Generated,
Field_A,OilField,2023-08-02,48.44,50.6,Geographic2D:EPSG::2235,Generated,
Field_B,MixedField,2020-02-21,,,,Generated,
Field_C,OilField,2021-07-17,,,,Generated,
Field_D,OilField,2021-04-02,53.96,56.81,Vertical:EPSG::2604,Generated,
Field_D,OilField,2021-04-02,43.11,69.14,BoundGeographic2D:EPSG::2528_EPSG::4872,Generated,
Field_D,OilField,2021-04-02,53.96,56.81,BoundProjected:EPSG::8956_EPSG::8886,Generated,
Field_E,OilField,2024-02-17,47.6,57.18,BoundProjected:EPSG::1960_EPSG::3697,Generated,
Field_E,OilField,2024-02-17,46.88,55.29,Geographic2D:EPSG::7396,Generated,
Field_E,OilField,2024-02-17,47.6,57.18,Projected:EPSG::5673,Generated,
